1,Acceptance,"to be open to and accepting of myself, others, life etc",Attending a support group and openly sharing experiences without judgment.,"Living with a strict belief in self-criticism and perfectionism, leading to a constant search for validation from external sources rather than accepting oneself as is."
2,Adventure,"to be adventurous; to actively seek, create, or explore novel or stimulating experiences",Going on a spontaneous road trip to explore new places and try new activities.,Preferring routine and avoiding any form of novelty or risk.
3,Assertiveness,to respectfully stand up for my rights and request what I want,Politely but firmly negotiating a raise at work based on your performance and value.,"Always agreeing with others to avoid conflict, even when it goes against your own wishes."
4,Authenticity,"to be authentic, genuine, real; to be true to myself",Sharing personal stories and vulnerabilities with close friends without fear of judgment.,Pretending to be someone you're not to fit in with a certain group or to gain approval.
5,Beauty,"to appreciate, create, nurture or cultivate beauty in myself, others, the environment etc",Creating an art piece that reflects the beauty of nature or showcasing natural beauty through photography.,"Prioritizing functionality over aesthetics, lack of interest in nature or cultural events, resulting in an uninspired environment and little to no effort in creating or appreciating artistic ventures."
6,Caring,"to be caring towards myself, others, the environment etc",Volunteering at a local shelter to help those in need or offering emotional support to a friend in distress.,"Ignoring the needs or feelings of others, being indifferent or callous towards their struggles."
7,Challenge,"to keep challenging myself to grow, learn, improve",Setting a goal to learn a new language and consistently practicing to improve fluency.,"Avoiding any form of difficulty or growth, staying within a comfort zone and resisting change."
8,Compassion,to act with kindness towards those who are suffering,Donating to a charity supporting refugees or actively participating in community service projects.,"Living in a self-focused manner where personal goals and achievements are prioritized over others' needs; observing others in distress without taking any action to offer help or support,"
9,Connection,"to engage fully in whatever I am doing, and be fully present with others","Engaging in deep conversations with friends, actively listening and being fully present in the moment.","Multitasking during conversations, being distracted or disengaged when interacting with others."
10,Contribution,"to contribute, help, assist, or make a positive difference to myself or others",Organizing a fundraising event for a local cause or mentoring someone to help them achieve their goals.,Engaging primarily in activities that serve personal interests without considering how those pursuits may impact others or the wider community.
11,Conformity,to be respectful and obedient of rules and obligations,Following traffic rules and regulations to ensure safety on the road.,Choosing to live outside social norms without any consideration or respect for community standards; exhibiting a consistent disregard for rules and obligations. like ignoring social etiquette.
12,Cooperation,to be cooperative and collaborative with others,"Collaborating with team members to complete a project successfully, sharing ideas and working towards a common goal.","Being uncooperative, undermining team efforts, or refusing to compromise for the greater good."
13,Courage,"to be courageous or brave; to persist in the face of fear, threat, or difficulty","Speaking up against injustice or discrimination, even when it's unpopular or risky to do so.","Avoiding challenges or difficult situations, giving in to fear and not standing up for what is right."
14,Creativity,to be creative or innovative,Painting a mural that expresses your unique perspective on a social issue or problem.,"Sticking to conventional methods, rejecting new ideas, or discouraging creative expression in oneself or others."
15,Curiosity,"to be curious, open-minded and interested; to explore and discover","Traveling to a foreign country to learn about its culture and history, engaging with locals and asking questions.","Ignoring opportunities to learn and explore, being close-minded or uninterested in discovering new things."
